2025-07-21 13:06:41.043  2369-2646  HWUI                    com.testapp.bluesky_api_test         I  Davey! duration=1296ms; Flags=0, FrameTimelineVsyncId=11112, IntendedVsync=50457660522, Vsync=51140993828, InputEventId=0, HandleInputStart=51145454157, AnimationStart=51145480066, PerformTraversalsStart=51148130956, DrawStart=51154942252, FrameDeadline=51140993828, FrameStartTime=51141568725, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=51160863054, SyncStart=51161186358, IssueDrawCommandsStart=51161990799, SwapBuffers=51165192550, FrameCompleted=51754236682, DequeueBufferDuration=9000, QueueBufferDuration=585931708, GpuCompleted=51753837997, SwapBuffersCompleted=51754236682, DisplayPresentTime=0, CommandSubmissionCompleted=51165192550, 
2025-07-21 13:06:41.391  2369-2369  InsetsController        com.testapp.bluesky_api_test         D  hide(ime(), fromIme=false)
2025-07-21 13:06:41.398  2369-2369  ImeTracker              com.testapp.bluesky_api_test         I  com.testapp.bluesky_api_test:5cff6842: onCancelled at PHASE_CLIENT_ALREADY_HIDDEN
2025-07-21 13:06:42.183  2369-2768  ProfileInstaller        com.testapp.bluesky_api_test         D  Installing profile for com.testapp.bluesky_api_test
2025-07-21 13:06:43.891  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:43.920  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:43.934  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:43.976  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:44.243  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:44.254  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
2025-07-21 13:06:44.316  2369-2619  System.out              com.testapp.bluesky_api_test         I  [Warning] Unknown Item type: app.bsky.feed.threadgate#followerRule (ThreadgateAllowUnion)
